001,003,005,020,040,090,092,100,245,264,300,520,590,920,923,LDR
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 70 .P7 G53 1979,,"1\$aGigante, Marcello.",10$aCivilta delle Forme Letteraie nell' Antica Pompei.,"\1$aNaples $b Bibliopolis, 1979.",,\\$aCivilta delle Forme Letteraie nell' Antica Pompei by Marcello Gigante (1979),,,\\$aYour library,00434     2200145 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3875 .A8 M59 1904,\4$a882.01,1\$aAristophanes.,10$aAristophanes: The Birds with Introduction and Notes.,,,\\$aAristophanes: The Birds with Introduction and Notes by Aristophanes (1904),,,\\$aYour library,00410     2200145 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 4442 .A2 1948,,1\$aTheocritus.,10$aTheocriti Carmina.,"\1$aIserlohn $b Silva-Verlag, 1948.",\\$a107  p.,\\$aTheocriti Carmina by Theocritus (1948),,,\\$aYour library,00382     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 4442 .F7 1881,,1\$aTheocritus.,10$aTheokrits Gedichte.,"\1$aLeipzig $b Teubner, 1881.",\\$aiv; 364  p.,\\$aTheokrits Gedichte by Theocritus (1881),,,\\$aYour library,00382     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 4216 .A2 1971 v.2,,1\$aIsocrates.,10$aIsocrate: Discours. Vol. 2.,"\1$aParis $b Les Belles Lettres, 1972",,\\$aIsocrate: Discours. Vol. 2 by Isocrates (1972),\\$a4 volumes,\\$a4 vols,\\$aYour library,00429     2200169 i 4500
\\,\\,\\,\\$a1116006634,\\$aMePoLT $cMePoLT $erda,\4$aDG 85 .S84 1891,\4$a300.8,"1\$aStephenson, Andrew.",10$aPublic Lands and Agrarian Laws of the Roman Republic.,"\1$aBaltimore $b Johns Hopkins Press, 1891.",\\$a104  p.,\\$aPublic Lands and Agrarian Laws of the Roman Republic by Andrew Stephenson (1891),,,\\$aYour library,00523     2200181 i 4500
\\,\\,\\,\\$a9027906939,\\$aMePoLT $cMePoLT $erda,\4$aPA 251 .B25 1969,\4$a481.5,"1\$aBeekes, Robert S. P.",10$aDevelopment of the Proto-Indo-European Laryngeals in Greek.,"\1$bWalter De Gruyter Inc, $c1969.",,\\$aDevelopment of the Proto-Indo-European Laryngeals in Greek by Robert S. P. Beekes (1969),,,\\$aYour library,00506     2200169 i 4500
\\,\\,\\,\\$a8876891153,\\$aMePoLT $cMePoLT $erda,\4$aDG 866 .C87 1994,\4$a937.8,"1\$aCusumano, Nicola.",10$aUna terra splendida e facile da possedere : i Greci e la Sicilia.,"\1$aRoma  $b Bretschneider, 1994.",\\$a186  p.,\\$aUna terra splendida e facile da possedere : i Greci e la Sicilia by Nicola Cusumano (1994),,,\\$aYour library,00534     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 70 .P7 M54 1957,,"1\$aMaiuri, Amedeo.","10$aLe Pitture di Pompeii, Ercolano, e Stabia nel Museo Nazionale di Napoli.","\1$aMilan $b Aldo Martello Editore, 1957.",,"\\$aLe Pitture di Pompeii, Ercolano, e Stabia nel Museo Nazionale di Napoli by Amedeo Maiuri (1957)",,,\\$aYour library,00481     2200145 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 251 .L25 1987,,"1\$aLejeune, Michel.",10$aPhonetique Historique Du Mycenien et Du Grec Ancien; Nouveau Tirage.,"\1$bEditions Klincksieck, $c1987.",,\\$aPhonetique Historique Du Mycenien et Du Grec Ancien; Nouveau Tirage by Michel Lejeune (1987),,,\\$aYour library,00465     2200145 i 4500
\\,\\,\\,\\$a3598778082,\\$aMePoLT $cMePoLT $erda,\4$aPA 4217 .C4 P26 2003,\4$a885.01,"1\$aRoth, Peter.",10$aDer Panathenaikos des Isokrates.,"\1$aMunich $b Saur, 2003",\\$a310  p.,\\$aDer Panathenaikos des Isokrates by Peter Roth (2003),,,\\$aYour library,00454     2200181 i 4500
\\,\\,\\,\\$a0856684147,\\$aMePoLT $cMePoLT $erda,\4$aPA 4217 .P313 1990,\4$a885.01,1\$aIsocrates.,10$aGreek Orators III: Isocrates Panegyricus and Ad Nicolem (Classical Texts).,"\1$aWarminster $b Aris &amp; Phillips, 1990",\\$a240  p.,\\$aGreek Orators III: Isocrates Panegyricus and Ad Nicolem (Classical Texts) by Isocrates (1990),,,\\$aYour library,00552     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 70 .T2 B4 1983,,"1\$ade la Blanchere, Marie-Ren©♭.",10$aTerracina: Saggio di Storia Locale.,"\1$aTerracina $b Altracitt© , 1983.",,\\$aTerracina: Saggio di Storia Locale by Marie-Ren©♭ de la Blanchere (1983),,,\\$aYour library,00428     2200145 i 4500
\\,\\,\\,\\$a9780199238071,\\$aMePoLT $cMePoLT $erda,\4$aPA 4218 .T656 2008,\4$a885.01,"1\$aToo, Yun Lee.",10$aA Commentary on Isocrates' Antidosis.,"\1$aOxford $b Oxford University Press, 2008",\\$a264  p.,\\$aA Commentary on Isocrates' Antidosis by Yun Lee Too (2008),,,\\$aYour library,00486     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 866 .F52 1979,\4$a937.8,"1\$aFinley, Moses I.",10$aAncient Sicily.,,,\\$aAncient Sicily by Moses I. Finley (1979),,,\\$aYour library,00337     2200145 i 4500
\\,\\,\\,\\$a1112107134,\\$aMePoLT $cMePoLT $erda,\4$aDG 87 .R356 1913,\4$a320.8,"1\$aReid, James S.",10$aThe Municipalities of the Roman Empire.,"\1$aCambridge, UK $b Cambridge University Press, 1913.",\\$a578  p.,\\$aThe Municipalities of the Roman Empire by James S. Reid (1913),,,\\$aYour library,00498     2200181 i 4500
\\,\\,\\,\\$a9004117520,\\$aMePoLT $cMePoLT $erda,\4$aPA 3872 .Z4 C66 2000,\4$a883.01,"1\$aPapanghelis, Theodore D.","10$aA Companion to Apollonius Rhodius (Mnemosyne, Bibliotheca Classica Batava Supplementum) (Mnemosyne Supplements).","\1$bBrill Academic Publishers, $c2000.",\\$a362  p.,"\\$aA Companion to Apollonius Rhodius (Mnemosyne, Bibliotheca Classica Batava Supplementum) (Mnemosyne Supplements) by Theodore D. Papanghelis (2000)",,\\$amissing,\\$aYour library,00677     2200193 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 75 .K29 1891,,"1\$aKelsey, Francis W.",10$aFifty Topics in Roman Antiquities with References.,"\1$aBoston $b Allyn and Bacon, 1891.",,\\$aFifty Topics in Roman Antiquities with References by Francis W. Kelsey (1891),,,\\$aYour library,00436     2200145 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 4221 .J4 1864,,"1\$aLydus, Johannes Laurentius.","10$aLiber de ostentis ex codicibvs italicis avctvs et calendaria graeca omnia, ed. Cvrtivs Wachsmvth. accedvnt anecdota dvo de cometis et de terrae motibvs (Latin Edition).","\1$aLeipzig $b Teubner, 1863",,"\\$aLiber de ostentis ex codicibvs italicis avctvs et calendaria graeca omnia, ed. Cvrtivs Wachsmvth. accedvnt anecdota dvo de cometis et de terrae motibvs (Latin Edition) by Johannes Laurentius Lydus (1863)",,,\\$aYour library,00682     2200145 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 77 .A74 1970,\4$a913.37,"1\$aArnott, Peter D.",10$aThe Romans and their World.,"\1$aNew York $b St. Martin's Press, 1970.",\\$a318  p.,\\$aThe Romans and their World by Peter D. Arnott (1970),,,\\$aYour library,00438     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 4442 .A2 C3 1919,\4$a884.01,1\$aTheocritus.,10$aThe Idylls of Theocritus: Edited with an Introduction and Notes.,"\1$aLondon $b G. Bell &amp; Sons, 1919.",\\$avi; 449  p.,\\$aThe Idylls of Theocritus: Edited with an Introduction and Notes by Theocritus (1919),,,\\$aYour library,00508     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 4444 .A2 1914,\4$a881.01,"1\$aWendel, Carl.",10$aScholia in Theocritum Vetera.,"\1$aLeipzig $b Teubner, 1914.",\\$axl; 407  p.,\\$aScholia in Theocritum Vetera by Carl Wendel (1914),,,\\$aYour library,00428     2200169 i 4500
\\,\\,\\,\\$a080205787X,\\$aMePoLT $cMePoLT $erda,\4$aDG 88 .A4 1990,\4$a347.3707,"1\$aAlexander, Michael C.","10$aTrials in the Late Roman Republic, 149 BC to 50 BC.","\1$aToronto/Buffalo/London $b University of Toronto Press, 1991.",\\$a232  p.,"\\$aTrials in the Late Roman Republic, 149 BC to 50 BC by Michael C. Alexander (1991)",,,\\$aYour library,00547     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 4221 .J5 O6 1999,,"1\$aFladerer, Ludwig.",10$aJohannes Philoponos De opificio mundi: Sp©Þtantikes Sprachdenken und christliche Exegese.,"\1$aSuttgart $b Teubner, 1999",,\\$aJohannes Philoponos De opificio mundi: Sp©Þtantikes Sprachdenken und christliche Exegese by Ludwig Fladerer (1999),,,\\$aYour library,00508     2200145 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3875 .N8 1970,\4$a882.01,"1\$aDover, K.J. (ed.) Aristophanes;.",10$aAristophanes Clouds.,"\1$bOxford at the Clarendon Press, $c1970.",,\\$aAristophanes Clouds by K.J. (ed.) Aristophanes; Dover (1970),,,\\$aYour library,00433     2200157 i 4500
\\,\\,\\,\\$a9783110192247,\\$aMePoLT $cMePoLT $erda,\4$aPA 4444 .K68 2007,\4$a880.08,"1\$aKirstein, Robert.","10$aJunge Hirten und alte Fischer: Die Gedichte 27, 20 und 21 des Corpus Theocriteum.","\1$aBerlin $b De Gruyter, 2007.",\\$ax; 247  p.,"\\$aJunge Hirten und alte Fischer: Die Gedichte 27, 20 und 21 des Corpus Theocriteum by Robert Kirstein (2007)",,,\\$aYour library,00572     2200181 i 4500
\\,\\,\\,\\$a3519076098,\\$aMePoLT $cMePoLT $erda,\4$aPA 4444 .S7 1995,\4$a881/.01,"1\$aStanzel, Karl-Heinz.",10$aLiebende Hirten: Theokrits Bukolik und die alexandrinische Poesie.,"\1$aStuttgart/Leipzig $b Teubner, 1995.",\\$a322  p.,\\$aLiebende Hirten: Theokrits Bukolik und die alexandrinische Poesie by Karl-Heinz Stanzel (1995),,,\\$aYour library,00550     2200181 i 4500
\\,\\,\\,\\$a188782944X,\\$aMePoLT $cMePoLT $erda,\4$aDG 77 .I43 2001,\4$a937,"1\$aHingley, Richard.",10$aImages of Rome: Perceptions of Ancient Rome in Europe and the United States in the Modern age.,"\1$aPortsmouth, R.I. $b Journal of Roman Archaeology, 2001.",\\$a190  p.,\\$aImages of Rome: Perceptions of Ancient Rome in Europe and the United States in the Modern age by Richard Hingley (2001),,,\\$aYour library,00615     2200181 i 4500
\\,\\,\\,\\$a0691036012,\\$aMePoLT $cMePoLT $erda,\4$aDG 77 .M28 1990,\4$a945.63201,"1\$aMacMullen, Ramsay.",10$aChanges in the Roman Empire: Essays in the Ordinary.,"\1$aPrinceton $b Princeton University Press, 1990.",\\$axiv; 399  p.,\\$aChanges in the Roman Empire: Essays in the Ordinary by Ramsay MacMullen (1990),,,\\$aYour library,00535     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 4222 .D3 2003 v.1,,1\$aFlavius Josephus.,"10$aGuerre Des Juifs, vol. 1.","\1$aParis $b Les Belles Lettres, 2003",,"\\$aGuerre Des Juifs, vol. 1 by Flavius Josephus (2003)",\\$a3 volumes,\\$a3 vols,\\$aYour library,00439     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 77 .S22 1910,\4$a937,"1\$aSandys, John Edwin.",10$aA Companion to Latin Studies.,"\1$aCambridge, UK $b Cambridge University press, 1910.",\\$axxxv; 891  p.,\\$aA Companion to Latin Studies by John Edwin Sandys (1910),,,\\$aYour library,00463     2200169 i 4500
\\,\\,\\,\\$a0198140495,\\$aMePoLT $cMePoLT $erda,\4$aPA 3875 .L8 1987,\4$a882.01,1\$aAristophanes.,10$aLysistrata.,,\\$a308  p.,\\$aLysistrata by Aristophanes (1987),,,\\$aYour library,00375     2200169 i 4500
\\,\\,\\,\\$a0415099889,\\$aMePoLT $cMePoLT $erda,\4$aDG 78 .A63 1993,\4$a937.07,"1\$aAnderson, Graham.",10$aThe Second Sophistic: A Cultural Phenomenon in the Roman Empire.,"\1$aLondon/New York $b Routledge, 1993.",\\$axiii; 303  p.,\\$aThe Second Sophistic: A Cultural Phenomenon in the Roman Empire by Graham Anderson (1993),,,\\$aYour library,00544     2200181 i 4500
\\,\\,\\,\\$a1112596259,\\$aMePoLT $cMePoLT $erda,\4$aPA 258 .G66 1880,\4$a485,"1\$aGoodwin, William Watson.",10$aAn Elementary Greek Grammar (Goodwin's Greek Grammar).,,\\$a442  p.,\\$aAn Elementary Greek Grammar (Goodwin's Greek Grammar) by William Watson Goodwin (1880),\\$aalso 1930 edition,,\\$aYour library,00513     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3875 .P2 1913,\4$a882.01,1\$aAristophanes.,10$aThe Peace of Aristophanes.,,,\\$aThe Peace of Aristophanes by Aristophanes (1913),,,\\$aYour library,00354     2200145 i 4500
\\,\\,\\,\\$a0800607171,\\$aMePoLT $cMePoLT $erda,\4$aPA 4224 .R63 1983,\4$a933.05,"1\$aRajak, Tessa.","10$aJosephus, the historian and his society.","\1$aPhiladelphia $b Fortress Press, 1984",\\$a245  p.,"\\$aJosephus, the historian and his society by Tessa Rajak (1984)",,,\\$aYour library,00485     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 78 .D578 1904,\4$a937.07,"1\$aDill, Samuel.",10$aRoman Society from Nero to Marcus Aurelius.,"\1$aLondon/New York $b The Macmillan Company, 1904.",\\$a639  p.,\\$aRoman Society from Nero to Marcus Aurelius by Samuel Dill (1904),,,\\$aYour library,00474     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 258 .N11 1948,\4$a808.0481,"1\$aNash-Williams, Alvah Harry.",10$aIntroduction to Continuous Greek Prose Composition.,,,\\$aIntroduction to Continuous Greek Prose Composition by Alvah Harry Nash-Williams (1948),,,\\$aYour library,00433     2200145 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3875 .E7 1887,\4$a882.01,1\$aAristophanes.,10$aThe Knights.,,,\\$aThe Knights by Aristophanes (1895),,,\\$aYour library,00326     2200145 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 258 .S45 1967,\4$a489,"1\$aSidgwick, Arthur.",10$aIntroduction to Greek Prose Composition with Exercises.,"\1$bLongmans (1967), Hardcover, $creprint.",,\\$aIntroduction to Greek Prose Composition with Exercises by Arthur Sidgwick (1967),,,\\$aYour library,00470     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 78 .F911 1901,\4$a937,"1\$aFriedlaender, Ludwig.",10$aDarstellungen aus der sittengeschichte Roms in der Zeit von August bis zum Ausgang der Antonine.,"\1$aLeipzig $b S. Hirzel, 1901.",,\\$aDarstellungen aus der sittengeschichte Roms in der Zeit von August bis zum Ausgang der Antonine by Ludwig Friedlaender (1901),,,\\$aYour library,00549     2200157 i 4500
\\,\\,\\,\\$a1849026394,\\$aMePoLT $cMePoLT $erda,\4$aPA 258 .S64,\4$a488.2421,"1\$aSmyth, Herbert Weir.",10$aGreek Grammar.,,\\$a510  p.,"\\$aGreek Grammar by Herbert Weir Smyth (1920, 1956)",\\$atwo copies,\\$a2 copies $aN.B. 2 additional volumes on reference shelf under REF-PA 258 .S64 1956,\\$aYour library,00522     2200193 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 807.4 .H532 1960,\4$a913.376,"1\$aHertling, Freiherr von Ludwig.",10$aThe Roman catacombs and their martyrs.,,\\$a274  p.,\\$aThe Roman catacombs and their martyrs by Freiherr von Ludwig Hertling (1960),,,\\$aYour library,00439     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 258 .S64 S58 1961,,"1\$aSchumann, Walter A.",10$aScholarly Aids 1: Index of Passages Cited in Herbert Weir Smyth Greek Grammar.,"\1$bDuke University Press, $c1961.",,\\$aScholarly Aids 1: Index of Passages Cited in Herbert Weir Smyth Greek Grammar by Walter A. Schumann (1961),,,\\$aYour library,00497     2200145 i 4500
\\,\\,\\,\\$a0198253176,\\$aMePoLT $cMePoLT $erda,\4$aDG 88 .K46 1973,\4$a340.54,"1\$aKunkel, Wolfgang.",10$aAn Introduction to Roman Legal and Constitutional History.,"\1$aOxford $b Clarendon Press, 1973.",\\$a248  p.,\\$aAn Introduction to Roman Legal and Constitutional History by Wolfgang Kunkel (1973),,,\\$aYour library,00523     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 26 .B54 1967,\4$a938.ad,"1\$aBadian, E.",10$aAncient society and institutions: Studies presented to Victor Ehrenberg on his 75th birthday.,"\1$bBlackwell & Mott, $c1966.",,\\$aAncient society and institutions: Studies presented to Victor Ehrenberg on his 75th birthday by E Badian (1966),,,\\$aYour library,00521     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3875 .N8 H16 1892,\4$a882.01,1\$aAristophanes.,10$aAristohpanes Clouds.,,,\\$aAristohpanes Clouds by Aristophanes (1892),,,\\$aYour library,00346     2200145 i 4500
\\,\\,\\,\\$a0198253370,\\$aMePoLT $cMePoLT $erda,\4$aDG 88 .K47 1976,\4$a347.31,"1\$aKelly, J.M.",10$aStudies in the Civil Judicature of the Roman Republic.,\1$aOxford $b Clarendon Press 1976.,\\$a150  p.,\\$aStudies in the Civil Judicature of the Roman Republic by J.M. Kelly (1976),,\\$aphotocopy,\\$aYour library,00529     2200193 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 88 .K48 1966,\4$a349.371,"1\$aKelly, J. M.",10$aRoman Litigation.,"\1$aOxford $b Clarendon Press, 1966.",,\\$aRoman Litigation by J. M. Kelly (1966),,\\$aphotocopy,\\$aYour library,00408     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 81 .H3 1967,,"1\$aHaffter, Heinz.",10$ar©œmische Politik und r©œmische Politiker: Aufs©Þtze und Vortr©Þge.,"\1$aHeidelberg $b Carl Winter Universit©Þtsverlag, 1967.",\\$a207  p.,\\$aR©œmische Politik und r©œmische Politiker. Aufs©Þtze und Vortr©Þge by Heinz Haffter (1967),,,\\$aYour library,00506     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3875 .P2 1900,\4$a882.01,1\$aAristophanes.,10$aAristophanes Peace.,,,\\$aAristophanes Peace by Aristophanes. (1900),,,\\$aYour library,00341     2200145 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 4225 .J4 1963 v.1.1,\4$a880.01,1\$aJulian the Apostate.,"10$aL'Empereur Julien Oeuvres Compl©·tes, vol. 1.1.","\1$aParis $b Les Belles Lettres, 1963",,"\\$aL'Empereur Julien Oeuvres Compl©·tes, vol. 1.1 by Julian the Apostate (1963)",\\$a2 2 part volumes,\\$a4 vols,\\$aYour library,00521     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 88 .L26 1974,,"1\$aLenel, Otto.",10$aDas Edictum Perpetuum. Ein Ersuch zu Seiner Wiederherstellung.,"\1$aLeipzig $b Scientia Verlag Aalen, 1974.",\\$axxvi; 550  p.,\\$aDas Edictum Perpetuum. Ein Ersuch zu Seiner Wiederherstellung by Otto Lenel (1927),,,\\$aYour library,00484     2200157 i 4500
\\,\\,\\,\\$a0856687081,\\$aMePoLT $cMePoLT $erda,\4$aPA 3875 .E3 S46 1998,\4$a882.01,1\$aAristophanes.,10$aEcclesiazusae.,"\1$aWarminster  $b Aris & Phillips, c1998.",\\$axiv; 242  p.,\\$aEcclesiazusae by Aristophanes (1998),,\\$amissing,\\$aYour library,00468     2200193 i 4500
\\,\\,\\,\\$a0856682888,\\$aMePoLT $cMePoLT $erda,\4$aPA 3875 .A8 S46 1987,\4$a882/.01,1\$aAristophanes.,10$aBirds.,,\\$axv; 311  p.,\\$aBirds by Aristophanes (1987),,,\\$aYour library,00374     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 81 .M82 1964,\4$a320.937,"1\$aMeyer, Ernst.",10$aR©œmischer Staat und Staatgedanke.,"\1$aZ©ơrich/Stuttgart $b Artemis Verlag, 1964.",,\\$aR©œmischer Staat und Staatgedanke by Ernst Meyer (1964),,,\\$aYour library,00427     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 81 .T22 1949,\4$a937.05,"1\$aTaylor, Lily Ross.",10$aParty Politics in the Age of Caesar.,"\1$aBerkeley/Los Angeles/London $b University of California Press, 1949.",\\$aviii; 255  p.,\\$aParty Politics in the Age of Caesar by Lily Ross Taylor (1949),,,\\$aYour library,00496     2200169 i 4500
\\,\\,\\,\\$a9652261823,\\$aMePoLT $cMePoLT $erda,\4$aPA 26 .K37 1996,\4$a938,,00$aClassical studies in honor of David Sohlberg.,"\1$bBar-Ilan University Press, $c1996.",\\$a510  p.,\\$aClassical studies in honor of David Sohlberg (1996),,,\\$aYour library,00443     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 89 .B20 1953,\4$a349.3703,"1\$aBerger, Adolf.",10$aEncyclopedic dictionary of Roman law.,,\\$a808  p.,\\$aEncyclopedic dictionary of Roman law by Adolf Berger (1953),\\$aoversized,\\$aoversize,\\$aYour library,00453     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 89 .B23 1966,\4$a340.54,"1\$aBuckland, W. W.",10$aA text-book of Roman law from Augustus to Justinian.,,\\$axiv; 756  p.,\\$aA text-book of Roman law from Augustus to Justinian by W. W. Buckland (1966),,\\$amissing,\\$aYour library,00462     2200169 i 4500
\\,\\,\\,\\$a3519076411,\\$aMePoLT $cMePoLT $erda,\4$aPA 26 .K56 1998,\4$a880.9,,00$aStyle and tradition: Studies in honor of Wendell Clausen (Beitrage zur Altertumskunde).,"\1$bTeubner, $c1998.",\\$a325  p.,\\$aStyle and tradition: Studies in honor of Wendell Clausen (Beitrage zur Altertumskunde) (1998),,,\\$aYour library,00511     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3875 .R3 T64 1913,\4$a808,1\$aAristophanes.,"10$aThe Frogs of Aristophanes. Greek and English. Edited with introduction, commentary and critical notes. T.G. Tucker. 1906 Edition.",,,"\\$aThe Frogs of Aristophanes. Greek and English. Edited with introduction, commentary and critical notes. T.G. Tucker. 1906 Edition by Aristophanes (1913)",,,\\$aYour library,00561     2200145 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 4229 .L4 1907,,1\$aLonginus.,10$aLonginus on the Sublime..,"\1$aCambridge $b Cambridge University Press, 1907",,\\$aLonginus on the Sublime. by Longinus (1907),,,\\$aYour library,00382     2200145 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aDG 83 .B749 1909,\4$a328.37,"1\$aBotsford, George Willis.",10$aThe Roman Assemblies from Their Origin to the End of the Republic.,"\1$aNew York $b The Macmillan company, 1909.",\\$a521  p.,\\$aThe Roman Assemblies from Their Origin to the End of the Republic by George Willis Botsford (1909),,,\\$aYour library,00535     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3875 .V5 1893,\4$a882.01,1\$aAristophanes.,10$aAristophanis Vespae.,,,\\$aAristophanis Vespae by Aristophanes (1893),,,\\$aYour library,00342     2200145 i 4500
\\,\\,\\,\\$a0198150903,\\$aMePoLT $cMePoLT $erda,\4$aDG 89 .G65 1996,\4$a937,"1\$aGoldsworthy, Adrian Keith.",10$aThe Roman Army at War 100 BC - AD 200.,"\1$aOxford $b Clarendon Press, 1998.",\\$a328  p.,\\$aThe Roman Army at War 100 BC - AD 200 by Adrian Keith Goldsworthy (1998),,,\\$aYour library,00498     2200181 i 4500
\\,\\,\\,\\$a0806130148,\\$aMePoLT $cMePoLT $erda,\4$aDG 89 .K47 1998,\4$a355.00937,"1\$aKeppie, Lawrence.",10$aThe Making of the Roman Army: From Republic to Empire.,"\1$aNorman, OK $b University of Oklahoma Press, 1998.",\\$a272  p.,\\$aThe Making of the Roman Army: From Republic to Empire by Lawrence Keppie (1998),,,\\$aYour library,00535     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 4229 .L4 1947,\4$a888.9,1\$aLonginus.,"10$aLibellvs de svblimitate Dionysio Longino fere adscriptvs, accedvnt excerpta qvaedam e Cassii Longini operibvs : recognovit breviqve adnotatione critica instrvxit Artvrvs Octavivs Prickard.","\1$aOxford $b Oxford Unviersity Press, 1947.",\\$axvi  p.,"\\$aLibellvs de svblimitate Dionysio Longino fere adscriptvs, accedvnt excerpta qvaedam e Cassii Longini operibvs : recognovit breviqve adnotatione critica instrvxit Artvrvs Octavivs Prickard by Longinus (1947)",,\\$amissing,\\$aYour library,00773     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 4229 .L4 1964,\4$a888.9,1\$aLonginus.,10$aLonginus: On the Sublime.,"\1$aOxford $b Oxford Unviersity Press, 1964",,\\$aLonginus: On the Sublime by Longinus (1964),,,\\$aYour library,00398     2200157 i 4500
\\,\\,\\,\\$a0520035453,\\$aMePoLT $cMePoLT $erda,\4$aDG 83.1 .N513 1980,\4$a323.6/0937,"1\$aNicolet, Claude.",10$aThe World of the Citizen in Republican Rome.,"\1$aBerkeley/Los Angeles $b University of California Press, 1980.",\\$a435  p.,\\$aThe World of the Citizen in Republican Rome by Claude Nicolet (1980),,,\\$aYour library,00529     2200181 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3875 .R3 S7 1958,\4$a808,1\$aAristophanes.,"10$aThe frogs. Edited, with introd., rev. text, commentary and index, by W.B. Stanford.",,\\$a211  p.,"\\$aThe frogs. Edited, with introd., rev. text, commentary and index, by W.B. Stanford by Aristophanes (1963)",,,\\$aYour library,00492     2200157 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 3875 .R3 S3 1945,,"1\$aSchuringa, Jacob.",10$aScholia vetera ad Aristophanis Ranas codicis Ven. Marc. 474.,,\\$a213  p.,\\$aScholia vetera ad Aristophanis Ranas codicis Ven. Marc. 474 by Jacob Schuringa (1945),,,\\$aYour library,00433     2200145 i 4500
\\,\\,\\,\\$a0198150059,\\$aMePoLT $cMePoLT $erda,\4$aPA 3875 .R3 D12 1993,\4$a882/.01,1\$aAristophanes.,10$aFrogs.,,\\$axvi; 398  p.,\\$aFrogs by Aristophanes (1993),,,\\$aYour library,00375     2200169 i 4500
